dateTime,BandAccX,BandAccY,BandAccZ,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus,Acceleration_X,Acceleration_Y,Acceleration_Z,MagneticField_X,MagneticField_Y,MagneticField_Z,Orientation_X,Orientation_Y,Orientation_Z,AngularVelocity_X,AngularVelocity_Y,AngularVelocity_Z
2024-06-06 12:07:46.490,805.6,7436.4,658.0,79.44365753424658,0.0,6.826,52.33469208219178,4.861728232876713,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.118445,3.579663,9.622138,7.8675,-22.7325008,-41.475001,-129.7389690034241,-20.801235655453723,-2.4550262385514108,0.022903,0.041812,0.015979
2024-06-06 12:07:46.503,805.6,7436.4,658.0,79.42321917808219,0.0,6.826,52.33469202739726,4.8617284109589045,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.11066799999999999,3.5958145,9.468399,7.90125,-22.7362512,-41.550001,-129.87616229507793,-20.746621002423993,-2.195740260440029,0.022903,0.041812,0.015979
2024-06-06 12:07:46.510,805.6,7436.4,658.0,79.40278082191782,0.0,6.826,52.33469197260274,4.861728589041096,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.102891,3.611966,9.31466,7.935,-22.7400016,-41.625001,-130.01304027155632,-20.691426682188574,-1.936688778981264,0.022936733333333334,0.041037906666666665,0.015751746666666667
2024-06-06 12:07:46.522,805.6,7436.4,658.0,79.38234246575342,0.0,6.826,52.33469191780822,4.861728767123288,0.0,98.0,0.51,on,KEYGUARD_SHOWN,-0.049651,3.5880375,9.325427999999999,7.96875,-22.743752,-41.700001,-130.14960021194028,-20.63565434894054,-1.677873524462815,0.022970466666666665,0.040263813333333336,0.015524493333333333
2024-06-06 12:07:46.530,805.6,7436.4,658.0,79.36190410958905,0.0,6.826,52.3346918630137,4.8617289452054795,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.003589,3.564109,9.336196,8.0475,-22.7512516,-41.6475008,-130.2858394214651,-20.579305669407493,-1.4192961988449233,0.0230042,0.03948972,0.01529724
2024-06-06 12:07:46.550,805.6,7436.4,658.0,79.34146575342466,0.0,6.826,52.334691808219176,4.861729123287671,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.137587,3.416951,9.309875,8.12625,-22.7587512,-41.5950006,-130.42175523157977,-20.52238232267338,-1.1609584756736449,0.023037933333333333,0.03871562666666667,0.015069986666666667
2024-06-06 12:07:46.565,805.6,7436.4,658.0,79.32102739726028,0.0,6.826,52.33469175342466,4.861729301369864,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.23001,3.3747775,9.229416,8.205,-22.7662508,-41.5425004,-130.557345,-20.464886,-0.902862,0.023071666666666667,0.03794153333333333,0.014842733333333333
2024-06-06 12:07:46.570,805.6,7436.4,658.0,79.30058904109589,0.0,6.826,52.33469169863014,4.861729479452055,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.322433,3.332604,9.148957,8.283750000000001,-22.7737504,-41.4900002,-130.56570861226203,-20.476326919150992,-0.9688629528598272,0.023105399999999998,0.03716744,0.01461548
2024-06-06 12:07:46.582,805.6,7436.4,658.0,79.28015068493151,0.0,6.826,52.33469164383562,4.861729657534247,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.3655035,3.4005,9.064012,8.3625,-22.78125,-41.4375,-130.57405877396323,-20.48777685686117,-1.0348670471012364,0.023139133333333332,0.036393346666666666,0.014388226666666667
2024-06-06 12:07:46.590,805.6,7436.4,658.0,79.25971232876712,0.0,6.826,52.3346915890411,4.861729835616439,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.408574,3.468396,8.979067,8.4375,-22.790625,-41.423438000000004,-130.58239547216627,-20.499235798365063,-1.1008742911761205,0.023172866666666667,0.03561925333333334,0.014160973333333333
2024-06-06 12:07:46.610,805.6,7436.4,658.0,79.23927397260275,0.0,6.826,52.33469153424657,4.86173001369863,0.0,98.0,0.51,on,KEYGUARD_SHOWN,0.330808,3.622734,8.857033,8.5125,-22.8,-41.409376,-130.59071869394216,-20.51070372888417,-1.1668846935483932,0.0232066,0.03484516,0.01393372
